Author Name,Author Affiliation,Country,Article No.,h-index
"Jens-Uwe Hahn 
",Hochschule der Medien Stuttgart,de,24,
Richard Go ̈llner,University of Tübingen,de,24,
Guido Makransky,University of Copenhagen,dk,25,31
Lau Lilleholt,University of Copenhagen,dk,25,9
Ann L. Parkinson,University of the Sunshine Coast,au,26,
Mary Kynn,"University of Aberdeen,",gb,26,10
Nicole Reinke,University of the Sunshine Coast,au,26,7
,,,27,
Danny P. Goel,University of British Columbia,ca,28,
Aaron J. Bois,University of Calgary,ca,28,
George S. Athwal,Western University,ca,28,59
Ryan Lohre,University of British Columbia,ca,28,7
Jiatian Yu,Nanjing Normal University,cn,29,
Wayan Sintawati,Nanjing Normal University,cn,29,2
Rustam Shadiev,Nanjing Normal University,cn,29,32
Emilia Biffi,Scientific Institute IRCCS E,it,30,
Gianluigi Reni,Scientific Institute IRCCS E,it,30,
Paola Negrini,Scientific Institute IRCCS E,it,30,
Marisa Giorgetti,Scientific Institute IRCCS E,it,30,
Simona Travellini,Scientific Institute IRCCS E,it,30,
Maria Luisa Lorusso,Scientific Institute IRCCS E,it,30,33
Guillermo Cabrera-Guerrero,"Universidad Católica de Valparaíso, ",cl,31,
Ruggiero Lovreglio,"Massey University,",New Zealand,31,
Rafael Sacks,Israel Institute of Technology,Israel,31,
Jared Thomas,WSP Opus,New Zealand,31,
Michael Spearpoint,OFR Consultants,gb,31,32
Robert Amor,University of Auckland,New Zealand,31,31
Vicente A. González,University of Auckland,New Zealand,31,33
Zhenan Feng,University of Auckland,New Zealand,31,8
Chad Gorbatkin,Madigan Army Medical Center,us,32,
Jason Bothwell,Madigan Army Medical Center,us,32,
Matthew T. Esposito,San Antonio Military Medical Center,us,32,
Zachary Sletten,San Antonio Military Medical Center,us,32,
Jillian F. Phelps,Madigan Army Medical Center,us,32,
Kristin Fiala,Darnall Army Medical Center,us,32,
Robyn Essendrop,Madigan Army Medical Center,us,32,
Carl Skinner,Madigan Army Medical Center,us,32,
Christopher Kang,Madigan Army Medical Center,us,32,
Ryan Walsh,Vanderbilt University Medical Center,us,32,
Kyle Couperus,Madigan Army Medical Center,us,32,
Scott E Young,Madigan Army Medical Center,us,32,10
Guido Makransky,University of Copenhagen,dk,33,
Aske Mottelson,University of Copenhagen,dk,33,
